spreadsheet_name,spreadsheet_id,sheet_name,current_role,decision,usage_status,evidence,notes
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,ネットショップ商品一覧,商品マスタ本体,残す,使用中の可能性が高い,商品コード・公開状態・原価・売価・画像列を保持,商品マスタ正本候補
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,ルール,コード/分類マスタ,残す,使用中の可能性が高い,店舗・メーカー・年・部位・カテゴリ・状態コードを保持,メーカーコード桁数説明の不一致は要確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,Wordpress用csv,WordPress掲載用整形,統合,使用中/過去使用の可能性,WordPress投稿・商品メタ・カテゴリ・公開状態列あり,新系ではチャネル出力へ分離
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,BASE用csv,BASE出品用整形,要確認,要確認,BASE用CSV列あり,BASE継続要否を確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,その他商品一覧,その他商品枠,要確認,要確認,見出しのみ確認,実運用とGAS参照を確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,配送について,配送案内/送料運用メモ,統合,参照用の可能性,配送・設置・引取案内を保持,新系では配送ルール/FAQへ分離
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,委託販売データベース,委託販売ルール/フォーム導線,要確認,要確認,ルール/フォーム項目のみ確認,委託販売スコープ確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,買取明細書・領収書,買取帳票テンプレート,統合,要確認,買取品・顧客情報・合計式を保持,個人情報を含むため権限分離が必要
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,動画の貼り付け方,動画埋め込み手順メモ,アーカイブ,参照用,iframe HTMLの貼付手順のみ,新サイト仕様決定後に置換可能
ネットショップ商品一覧2024,10Zp4e5BHLETAukN0fWfAmqWgBg5ptl5V4mgYvuOpFsg,全タブ,商品マスタ旧コピー候補,アーカイブ,要確認,2018-10-22版と同型タブ構成,正本との差分確認が必要
ネットショップ商品一覧2018-10-22 のコピー,1pceh0YsHVGbBf1PS3OjUmy_Z2OtpMzayf8euAiJNIwY,全タブ,商品マスタ旧コピー候補,アーカイブ,要確認,コピー名,凍結対象候補
ネットショップ商品一覧3.24bk,1MbQbJdNWFSmQs24kfJnv06Eh62yt3nGIj-zAqnafxFs,全タブ,商品マスタバックアップ候補,アーカイブ,要確認,bk名称,最終更新と差分確認が必要
中古マシン販売管理アプリ,1tZEHQU45zTDKDm1lWYC-wob2SHuK4DNdnqi08k1mIog,used,簡易商品管理表,要確認,要確認,13列程度の簡易商品項目のみ,本流か試作か確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,mitsumori,商品コード起点の見積行/割引/運搬費,残す,使用中の可能性が高い,SD商品コード・運搬設置費・割引率列あり,自動入力GAS未取得
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,見積書(簡易),顧客提出用簡易見積帳票,統合,使用中/派生利用の可能性,小計・税・合計のセル式あり,固定行式のため再設計時注意
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,運搬費計算,運搬設置費計算,統合,使用中の可能性,距離・高速代・燃費・人件費・車代の式あり,配送費モジュール候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,値引きルール,台数別値引きマスタ,残す,使用中の可能性,1台0%・2台5%・3-4台10%・5台以上15%,ルールテーブル化候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,修理・原価+利益 ,修理/原価/利益率計算,統合,使用中の可能性,作業・部材・利益率別価格式あり,シート名末尾空白あり
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,ヤマト便計算シート,梱包サイズ/運賃比較,統合,使用中の可能性,梱包後寸法と運賃列あり,運搬費計算と統合候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,シート張替え,張替え見積,統合,使用中の可能性,メーカー・部位・数量・単価・金額列あり,修理原価領域へ統合候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,代理販売,代理販売帳票/計算,統合,使用中の可能性,手数料差引支払の説明と金額欄あり,委託/代理販売スコープ要確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,2023.7掲載料,掲載料請求計算,要確認,要確認,掲載価格・掛け率・掲載料列あり,現役度確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,送付状文章,送付状テンプレ参照,アーカイブ,参照用,Google Docs URLのみ確認,文書テンプレ管理へ移行候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,画像シート,見積用画像貼付欄,要確認,要確認,写真/説明の見出しのみ,商品画像との関係を確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,買取明細書・出張,出張買取/引取作業費帳票,統合,使用中の可能性,買取額・作業費・相殺額の計算式あり,個人情報あり
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,買取明細書・領収書 のコピー,買取帳票コピー,アーカイブ,要確認,コピー名,正本との差分確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,旧見積もりシート,旧形式見積,アーカイブ,要確認,旧見積もりシート名,履歴参照用に凍結候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,シート10,空白/未使用候補,要確認,不明,A1:Z40で空,参照GAS有無を確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,空白シート,案件タブ複製元候補,要確認,要確認,シート名から推測,運用手順を確認
【見積】見積もりテンプレート2.3freee連携API,1IUb0KIWjsC47EIqW3gHfAtoDgrB5v7DsZ6eF8LLuk-0,mitsumori,freee連携向け見積行,統合,使用中の可能性,商品コード・運搬設置費・小計/税/合計値あり,通常版2.3との正本関係要確認
【見積】見積もりテンプレート2.3freee連携API,1IUb0KIWjsC47EIqW3gHfAtoDgrB5v7DsZ6eF8LLuk-0,その他各タブ,2.3派生/コピー構成,要確認,要確認,通常版2.3と類似タブ多数,差分精査が必要
【見積】長谷川様ご依頼分,1jcGEX01hQtJiMqnoGBRLOpN0LswItFqjkBRUZfPs3kM,見積書テンプレート,案件別見積タブ雛形,残す,使用中の可能性が高い,税率別SUMIF式あり,案件タブ生成フロー確認
【見積】長谷川様ご依頼分,1jcGEX01hQtJiMqnoGBRLOpN0LswItFqjkBRUZfPs3kM,九州文化学園 10.8,実案件見積/支払計算,残す,使用中,商品行・送料・手数料・支払額式あり,台帳からIMPORTRANGE参照あり
【見積】長谷川様ご依頼分,1jcGEX01hQtJiMqnoGBRLOpN0LswItFqjkBRUZfPs3kM,その他顧客別タブ多数,案件別見積書,統合,使用中/履歴,個人名案件タブが多数存在,新系では案件/見積レコード化したい
【見積】長谷川様ご依頼分,1jcGEX01hQtJiMqnoGBRLOpN0LswItFqjkBRUZfPs3kM,空白シート,案件タブ複製元候補,要確認,要確認,シート名から推測,運用手順確認
STRONGDEPOT 競合サイトデータ,1w1P0bN8UFFNfUZfNvXPpocng2a5qQgBDdzyTtxXmhtc,リサイフィット,競合商品収集データ本体,残す,使用中の可能性が高い,id・価格・画像URL・カテゴリ列あり,商品説明にHTML混在
STRONGDEPOT 競合サイトデータ,1w1P0bN8UFFNfUZfNvXPpocng2a5qQgBDdzyTtxXmhtc,マニュアル,競合収集/画像保存ルール,残す,参照用,Drive画像フォルダと命名規則を記載,取込仕様書へ転記したい
STRONGDEPOT 競合サイトデータ,1w1P0bN8UFFNfUZfNvXPpocng2a5qQgBDdzyTtxXmhtc,参照先シート,参照式タブ,要確認,要確認,自ブックのリサイフィットをIMPORTRANGEする式あり,意図確認が必要
競合サイトデータまとめ,1AFHny62--RuL0jm3JZdM1zX4L-7oDf10i8HWA48pANE,ターゲット,競合商品一覧ビュー,統合,使用中の可能性,競合商品列とサンプル行あり,同期元と更新経路を確認
競合サイトデータまとめ,1AFHny62--RuL0jm3JZdM1zX4L-7oDf10i8HWA48pANE,メーカー分類,メーカー分類ビュー,要確認,使用中の可能性,メーカー列に#ERROR!多数,エラー原因調査が必要
競合サイトデータまとめ,1AFHny62--RuL0jm3JZdM1zX4L-7oDf10i8HWA48pANE,カテゴリー分類,カテゴリ分類ビュー,要確認,要確認,A1:Z30で値を取得できず,実データ範囲確認
他社競合データ,1Q-tzcfXmQ2rMbNOBi_o0KaUP8UV8Hp2ksBc1Skk1kt8,リサイフィット,STRONGDEPOT競合データ中継,統合,使用中の可能性,IMPORTRANGEで1w1P0...を参照,中継が必要な理由を確認
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,2024長谷川さん,案件進捗/freee連携台帳,残す,使用中,freee partner_id・lines_json・quotation_id・Gmail Message-ID列あり,freee-automationが参照/更新
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,lines_json作成,freee明細JSON生成補助,統合,使用中の可能性が高い,TEXTJOINでJSON配列を生成しQ列転記の説明あり,新系では見積明細から自動生成したい
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,リンク,業務リンク集,アーカイブ,参照用,HYPERLINK集と旧テンプレIDあり,旧テンプレID 1ZM5ve... は404
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,全案件記入ルール,案件台帳記入ルール,残す,参照用,状態/発生日/見積/受注/請求などの説明を保持,新系の案件ステータス定義へ反映したい
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,2020兵庫案件,旧案件台帳,アーカイブ,履歴参照の可能性,旧案件行と旧freee URLを保持,履歴移行範囲確認
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,2024廃棄処理,廃棄/清掃/運搬案件台帳,統合,使用中の可能性,場所・見積書・内容・顧客・請求・実績報告列あり,販売本流と分けて設計したい
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,お客様希望商品,顧客希望商品フォーム回答,統合,使用中の可能性,氏名・メール・希望商品列あり,個人情報を含むため値は転記しない
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,成約率,KPI集計,統合,参照用,2020兵庫案件をCOUNTIFして成約率計算,新系では案件DB集計化
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,きらく苑,特定案件/資料メモ,要確認,要確認,案件行と資料メモが混在,販売本流との関係確認
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,スミスマシン仕様書,商品企画/仕様・価格検討,統合,要確認,仕様・価格・開発費・原価列あり,新商品開発管理へ分離候補
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,アルバイト給与明細,給与/外注費明細,要確認,要確認,勤務日数・時給・残業等を保持,新システム対象外として分離検討
2020マシンやグループ全案件進捗状況,1TMKQO4zYwk1kWgkfoCR4K7jTeIxNxsS1B8uh7t8nd2c,領収書,領収書テンプレート,統合,使用中の可能性,宛名・金額・税額・会社情報欄あり,帳票テンプレ管理へ分離候補
